coordinates,Name,Description
"-87.808895,41.982323,0,-87.807184,41.98234,0,-87.806057,41.982347,0,-87.803066,41.982364,0,-87.801067,41.982383,0,-87.798762,41.982396,0,-87.794033,41.982431,0,-87.790652,41.982461,0,-87.787923,41.982478,0,-87.787125,41.982486,0,-87.786506,41.982498,0,-87",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>111</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100111</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Harlem to Jefferson Park</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.630886,41.885737,0,-87.630199,41.885738,0,-87.630114,41.885738,0,-87.629922,41.885738,0,-87.629816,41.885738,0,-87.629753,41.885733,0,-87.629704,41.885723,0,-87.62966,41.885708,0,-87.629583,41.885678,0,-87.629525,41.885633,0,-87.629478,41.885571,0,-87",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>48</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100048</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Clark/Lake to Washington</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.629296,41.878183,0,-87.629253,41.876886,0,-87.629252,41.876843,0,-87.62924,41.876498,0,-87.629234,41.876306,0,-87.629221,41.875977,0,-87.629227,41.875861,0,-87.629286,41.875741,0,-87.629421,41.875665,0,-87.629548,41.875629,0,-87.62969,41.875608,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>153</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100153</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Jackson to LaSalle</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.895623,41.981187,0,-87.895619,41.981183,0,-87.893826,41.979647,0,-87.89279,41.978706,0,-87.891704,41.977787,0,-87.891481,41.977626,0,-87.891236,41.977489,0,-87.89095,41.977355,0,-87.890655,41.977242,0,-87.890309,41.977156,0,-87.889932,41.977083,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>77</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100155</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Subway Portal to Rosemont</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.712359,41.938132,0,-87.712308,41.936765,0,-87.712247,41.934575,0,-87.712198,41.932422,0,-87.712168,41.932234,0,-87.712142,41.932076,0,-87.712061,41.931938,0,-87.711924,41.931821,0,-87.711796,41.931738,0,-87.711598,41.931594,0,-87.71032,41.93083,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>108</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100108</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Belmont to Logan Square</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.760892,41.970634,0,-87.760572,41.970497,0,-87.760126,41.970306,0,-87.759698,41.970076,0,-87.759181,41.969793,0,-87.758569,41.969438,0,-87.757383,41.968763,0,-87.7564,41.968195,0,-87.755863,41.967892,0,-87.755307,41.967582,0,-87.754662,41.967219,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>112</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100112</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Jefferson Park to Montrose</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.719099,41.94736,0,-87.71891,41.9472,0,-87.71879,41.947064,0,-87.718677,41.946939,0,-87.718501,41.946662,0,-87.718308,41.946409,0,-87.718136,41.946098,0,-87.717894,41.945687,0,-87.717706,41.94536,0,-87.717496,41.944984,0,-87.717267,41.944564,0,-87.7170",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>93</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100093</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Addison to Belmont</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.655214,41.896075,0,-87.654846,41.89585,0,-87.6538,41.895202,0,-87.652847,41.894596,0,-87.651929,41.893978,0,-87.650443,41.893024,0,-87.649423,41.892369,0,-87.648586,41.891841,0,-87.647578,41.891189,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>102</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100102</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Chicago to Grand</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.69689,41.921939,0,-87.694062,41.920238,0,-87.691128,41.918466,0,-87.688968,41.917148,0,-87.687364,41.916157,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>106</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100106</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>California to Western</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.901848,41.978877,0,-87.901522,41.979159,0,-87.901226,41.979449,0,-87.901019,41.979641,0,-87.900819,41.979827,0,-87.900589,41.980018,0,-87.900137,41.980434,0,-87.899649,41.980844,0,-87.899201,41.981169,0,-87.898715,41.981468,0,-87.89823,41.981646,0,-87",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>77</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100077</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>O'Hare to Subway Portal</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.694111,41.96621,0,-87.691446,41.966231,0,-87.690255,41.966243,0,-87.689463,41.966253,0,-87.688503,41.96625,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>68</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100068</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Rockwell to Western</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.701656,41.966147,0,-87.700752,41.966147,0,-87.699536,41.966152,0,-87.698729,41.966159,0,-87.697892,41.966183,0,-87.696749,41.966198,0,-87.695022,41.966205,0,-87.694111,41.96621,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>67</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100067</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Francisco to Rockwell</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.713142,41.967928,0,-87.713115,41.966667,0,-87.71311,41.966434,0,-87.713099,41.966353,0,-87.713087,41.966295,0,-87.713034,41.966215,0,-87.712979,41.96615,0,-87.71292,41.966115,0,-87.712802,41.966072,0,-87.712681,41.966047,0,-87.712552,41.966049,0,-87.7",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>65</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100065</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Kimball to Kedzie</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.708844,41.966093,0,-87.707628,41.966108,0,-87.70645,41.966116,0,-87.703992,41.966134,0,-87.702668,41.966138,0,-87.701656,41.966147,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>66</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100066</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Kedzie to Francisco</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.675165,41.961752,0,-87.675131,41.960772,0,-87.675054,41.957985,0,-87.675007,41.956658,0,-87.674972,41.955131,0,-87.674956,41.954523,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>71</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100071</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Montrose to Irving Park</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.674956,41.954523,0,-87.674908,41.953923,0,-87.674866,41.953023,0,-87.674854,41.952021,0,-87.674835,41.951014,0,-87.674793,41.949587,0,-87.674765,41.948591,0,-87.674736,41.947029,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>72</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100072</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Irving Park to Addison</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.66361,41.943812,0,-87.659095,41.943907,0,-87.657666,41.943911,0,-87.656083,41.943932,0,-87.655496,41.943941,0,-87.655215,41.943942,0,-87.65503,41.943929,0,-87.65488,41.943904,0,-87.654699,41.94386,0,-87.654543,41.943802,0,-87.654413,41.943746,0,-87.65",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>75</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100075</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Southport to Clark Junction</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.670884,41.943709,0,-87.669384,41.943727,0,-87.667487,41.943768,0,-87.665847,41.943782,0,-87.665081,41.94379,0,-87.66361,41.943812,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>74</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100074</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Paulina to Southport</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.674736,41.947029,0,-87.674683,41.945963,0,-87.67466,41.945131,0,-87.67463,41.94494,0,-87.674571,41.944738,0,-87.6745,41.944551,0,-87.674419,41.944382,0,-87.674299,41.944236,0,-87.674195,41.944143,0,-87.674049,41.944042,0,-87.673859,41.943934,0,-87.673",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>73</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100073</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Addison to Paulina</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.688503,41.96625,0,-87.687181,41.966281,0,-87.685454,41.966309,0,-87.683985,41.966325,0,-87.682715,41.966353,0,-87.681594,41.966363,0,-87.68034,41.966383,0,-87.678635,41.966411,0",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>69</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100069</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Western to Damen</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.678635,41.966411,0,-87.677664,41.966422,0,-87.677409,41.966414,0,-87.677221,41.966403,0,-87.676955,41.96638,0,-87.676649,41.966321,0,-87.676382,41.966231,0,-87.676128,41.966116,0,-87.67589,41.965962,0,-87.675697,41.965789,0,-87.675574,41.965645,0,-87.",Brown Line,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>70</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100070</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown Line</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Damen to Montrose</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BR</td> </tr> </table> </font> </body> </html>"
"-87.630886,41.885737,0,-87.63204,41.885737,0,-87.632846,41.88573,0,-87.633913,41.885725,0","Brown, Green, Orange, Pink, Purple (Exp)","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>18</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100018</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown, Green, Orange, Pink, Purple (Exp)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Tower 18 to Clark/Lake</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>ML</td> </tr> </table> </font> </body> </html>"
"-87.627835,41.88574,0,-87.628872,41.885741,0,-87.629478,41.885739,0,-87.629816,41.885738,0,-87.629922,41.885738,0,-87.630114,41.885738,0,-87.630199,41.885738,0,-87.630886,41.885737,0","Brown, Green, Orange, Pink, Purple (Exp)","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>52</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100052</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown, Green, Orange, Pink, Purple (Exp)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Clark/Lake to State/Lake</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>ML</td> </tr> </table> </font> </body> </html>"
"-87.626098,41.87951,0,-87.626156,41.882031,0","Brown, Green, Orange, Pink, Purple (Exp)","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>44</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100044</td> </tr> <tr> <td>RAIL LINES</td> <td>Brown, Green, Orange, Pink, Purple (Exp)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Madison/Wabash to Adams/Wabash</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>ML</td> </tr> </table> </font> </body> </html>"
