Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
50th St	40.63626	-73.994791	CYYYE	Matt Mullican	Untitled	1989	Etched granite mural in entranceYYY sponsored by New York Communications Center Associates	Artist Matt Mullican created an 8-foot by 68-foot sandblasted black granite mural that presents a time-line of the history of the station siteYYY atop which sits an office tower.  (The subway station was rehabilitated in concert with the office development.)  Mullican employs an iconographic visual vocabulary through which he reveals the site's past as ruralYYY occupied by a cabinYYY and as a previous site of Madison Square Garden.  Depictions of maps and aerial views are also part of the large mural.  Mullican's pictographs reward the repeat visitor with layers of meaning as the piece is viewed again and again.  Mullican communicates through a simplified visual systemYYY but his signs provide deeper meaning to those who look.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=C&station=1"">Untitled</a>"
51st St-Lexington Avenue	40.645069	-74.014034	6YYYEYYYV	Nina Yankowitz	Tunnel Vision	1988	Ceramic tile in lower pass	{Tunnel Vision} consists of handmade tiles that line the 51st Street and Lexington Avenue subway underpass.   The 1YYY000 square-foot ceramic tile installation contains a series of wide cracks that appear as deep indentations in the form of lightning bolts ripping through the site and exposing bright blue marbleized water tiles.  Revealed within are seascapes that offer a view to another realm.  A ceramic relief architectural frieze of the New York City skyline in redYYY blackYYY and white wraps around the top portion of the wallsYYY and column-like forms appear as pillars supporting the ceiling.  The passage is made to feel more expansive as the view Yankowitz provides adds dimensionYYY detailYYY and interest.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Tunnel Vision</a>"
57th St - 7th Avenue	40.764664	-73.980658	NYYYQYYYRYYYW	Josh Scharf	Carnegie Hall Montage	1994	Ceramic tiles on north and south mezzanine walls; porcelain enamel on north mezzanine wa	{Carnegie Hall Montage} is a colorful arrangement of images in porcelain on steel that shows the range of artists who have performed on the world-renowned stage.  Some depict Carnegie Hall's classical pedigreeYYY such as Leonard Bernstein and Marian AndersonYYY for exampleYYY while others portray the BeatlesYYY Martin Luther KingYYY Jr.YYY and Eleanor RooseveltYYY as testament to the importance of the stage.  NearbyYYY hundreds of white tiles with text commemorate the namesYYY professionsYYY and appearance date of notables who graced Carnegie's stage.  In the words of Carnegie Hall activist Gino Francesconi:  ’I have always felt that the subway station directly below Carnegie Hall should reflect the history of the building just as the subways of Moscow and Paris do their own cultural institutions ... It reminds one of the connection between the city and its art.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Carnegie Hall Montage</a>"
57th St-7th Avenue	40.764664	-73.980658	NYYYQYYYRYYYW	Josh Scharf	Carnegie Hall Montage	1994	Ceramic tiles on north and south mezzanine walls; porcelain enamel on north mezzanine wa	{Carnegie Hall Montage} is a colorful arrangement of images in porcelain on steel that shows the range of artists who have performed on the world-renowned stage.  Some depict Carnegie Hall's classical pedigreeYYY such as Leonard Bernstein and Marian AndersonYYY for exampleYYY while others portray the BeatlesYYY Martin Luther KingYYY Jr.YYY and Eleanor RooseveltYYY as testament to the importance of the stage.  NearbyYYY hundreds of white tiles with text commemorate the namesYYY professionsYYY and appearance date of notables who graced Carnegie's stage.  In the words of Carnegie Hall activist Gino Francesconi:  ’I have always felt that the subway station directly below Carnegie Hall should reflect the history of the building just as the subways of Moscow and Paris do their own cultural institutions ... It reminds one of the connection between the city and its art.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Carnegie Hall Montage</a>"
59th St-Lexington Avenue	40.641362	-74.017881	4YYY5YYY6YYYNYYYRYYYW	Elizabeth Murray	Blooming	1996	Glass mosaic wall on mezzanine walls connecting the 4YYY 5YYY 6YYY and the NYYY RYYY W; medallions on 4YYY 5 express platform	Riders at this station are treated to the joyous burst of color and shapes that is {Blooming}.   The mosaics defy the corners of the space as the imagery wraps around cornersYYY down stepsYYY and through doorways. *{Blooming} takes its title from Bloomingdale'sYYY located above the station upstairs.  The artist views the subway as a ’dreamy underworld’ and also a place to wake upYYY and her pink treesYYY red shoes and yellow mugs with steaming coffee succeed in gaining the viewers' attention.  Murray saysYYY ’I added the stepping shoes and steaming coffee cupsYYY part of the ritual of every morning or evening subway trip.’  The images are intended to  ’stimulate thoughts about passageYYY as does the poetry’  that is incorporated into the muralYYY lines from William Butler Yeats'sYYY ’In dreams begin responsibilityYYY’  Gwendolyn Brooks's ’Conduct your blooming in the noise and whip of the whirlwind.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Blooming</a>"
59th St-Columbus Circle	40.641362	-74.017881	AYYY BYYY CYYY DYYY 1	Sol LeWitt	Whirls and twirls (MTA)	2009	Ceramic tile on mezzanine wall between the 1 and AYYY BYYY CYYY D	A monumental and vibrant porcelain tile wall drawing by Sol LeWitt has been installed at 59th Street-Columbus Circle. The artist created the proposal in 2004 andYYY working with Dattner ArchitectsYYY selected the site in an expansive wall facing a double-wide stairway and landing that leads from the mezzanine to the platforms of the AYYY CYYY BYYY D and 1 trains. Titled {Whirls and twirls (MTA)}YYY the artwork is 53 feet wide and by 11 feet high and consists of 250 porcelain tiles in six colorsYYY each cut to meet the artist's specifications. The artist created the drawing/maquette for the projectYYY reviewed and selected materialsYYY and approved color samples prior to his death in 2007. *The artist is known for his sculptures and his wall drawingsYYY in which detailed directions are provided for the execution of the artwork in paint or pencil. The site-specific piece - unique because it is a permanent public installation of a wall drawing - is a bravura work of precisionYYY with swooping curves and vertical and horizontal bars in vibrant color that completely fills the space. The tile was cut to the exact dimensions of the drawing to ensure that the scale of the work and the color sequences are as the artist intended. *Sol LeWitt (1928-2007) is a celebrated artist who has had hundreds of solo exhibitions in museums and galleries worldwide since 1965. His work includes more than 1YYY100 wall drawingsYYY photographsYYY hundreds of works on paperYYY and geometry-based sculptures. An exhibition at Mass MOCA in North AdamsYYY MassachusettsYYY features 105 wall drawings in a specially designed museum space and will be on view through 2033.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Whirls and twirls (MTA)</a>"
66th St-Lincoln Center	40.77344	-73.982209	1	Nancy Spero	ArtemisYYY AcrobatsYYY Divas and Dancers	2001	Glass and ceramic mosaic on platform walls	This series of 22 brilliantly colored glass mosaic panels lines the walls of the station and bows to Lincoln Center's operaYYY balletYYY and classical music halls - and the vibrantYYY artistic character of the Upper West Side neighborhood.  Spero conveys this through the use of iconic images of women both real and mythicalYYY from such varied sources as archaeologyYYY architectureYYY mythology and the contemporary world. *In {ArtemisYYY AcrobatsYYY DivasYYY and Dancers}YYY the central icon of operaYYY the DivaYYY is repeated in various forms that lead and follow riders through the stationYYY giving the illusion of movement and change.  ElsewhereYYY Spero represents scenes from the subway and the city outsideYYY the architectural backgrounds enlivened by musicians performing and athletes runningYYY signaling you are in a creative and energetic placeYYY the Upper West Side of Manhattan.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">ArtemisYYY AcrobatsYYY Divas and Dancers</a>"
72nd St	40.775594	-73.97641	1YYY2YYY3	Robert Hickman	Laced Canopy	2002	Mosaic glass skylight in north control house	{Laced Canopy} has over 100 decorative glass mosaic panels - over one million fragments of glass - installed in the skylight of the subway control houseYYY the first above-ground station house built in New York in over a century. The work's light and lacy effect is achieved from trapping the mosaic fragments between two sheets of specially fabricated glass.  The knots interwoven into the composition are also representations of musical notes from Giuseppe Verdi's opera {Rigoletto}YYY referencing Verdi ParkYYY in which the station is locatedYYY and the nearby Metropolitan Opera.  Robert Hickman describes the sparkling canopy as ’a delicate covering of crushed diamonds.’  Nineteenth-century English sources inform the workYYY whose concept is based on the 1851 London Crystal Palace; William Morris fabric and wallpaper designsYYY as well as Greco-Roman knot patternsYYY are incorporated as motifs.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Laced Canopy</a>"
77th St	40.629742	-74.02551	6	Robert Kushner	4 Seasons Seasoned	2004	Glass mosaic on mezzanine walls above stairs	For his mosaicsYYY Robert Kushner created bouquets of flowers - from every season - that reflect such influences as Dutch flower paintings and Japanese screens.  Most neighborhoods have flower shopsYYY but they are abundant on the Upper East SideYYY and have associations with many of the city's finest hospitalsYYY parksYYY and museums located there.  A painterYYY sculptor and printmakerYYY Kushner has always been fascinated by organic motifs.  A key figure of the Pattern and Decoration movementYYY he continues to feature vegetal motifs in his worksYYY often along with geometric patterns and architectural shapes.  At 77th Street he gives the community a blazing bouquet to brighten the day (and night).		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">4 Seasons Seasoned</a>"
81st St-Museum of Natural History	40.781433	-73.972143	BYYYC	Christopher Arts for Transit Collaborative	For Want of a Nail	2000	Glass and ceramic mosaicYYY handmade ceramic relief tilesYYY hand-cast glassYYY bronze and cut granite floor tiles throughout station	In {For Want of a Nail}YYY the artist team used a variety of materials to suggest the range and diversity at the American Museum of Natural HistoryYYY directly above the subway station.  Glass mosaicYYY glass tileYYY ceramic tileYYY graniteYYY and bronze relief are combined in ways that highlight the ten key disciplines at the Museum. The mosaics represent extinct and living animalsYYY the former in grey and the latter in color.  The work assembles images from outer space to the earth's core and from the first organisms to emerge to mammals of today.  The artwork was a collaboration between MTA Arts for Transit and the Museum.  {For Want of a Nail}YYY the title of an old proverbYYY asks the viewer to consider the way everything is connected.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">For Want of a Nail</a>"
86th St	40.622687	-74.028398	1	Nitza Tufiño	Westside Views	1989	Ceramic tile on platform walls	{Westside Views} began when the local Community Board recommended that developer amenity funds be used for a youth project to benefit the community.   The result was a collaboration between Nitza Tufiño and 17 young peopleYYY most of whom were part of Grosvenor Neighborhood House's school equivalency and educational program. The team went into area streets to photograph important historic sites and interviewed members of the communityYYY ultimately creating 40 ceramic tiles based on their work.  The murals are permanently installed as a testament to the success of the project.  Speaking of her workYYY Tufiño says: ’As an artistYYY if I take my brushes and my skills and I invest in the lives of young peopleYYY then others can see what is possible...  I believe human beings can do anythingYYY if we find something that would positively influence them.’	in collaboration with Grosvenor Neighborhood House Student Muralists	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Westside Views</a>"
86th St	40.622687	-74.028398	4YYY5YYY6	Peter Sis	Happy City	2004	Glass mosaics and etched stone on platform walls above stairs	In {Happy City}YYY Peter Sis depicts four large eyes to represent the ingredients of the community and the vibrancy that is New York.  Created with etched stone and glass mosaics and rendered in bold colorYYY above the stairsYYY the pupils and eyelashes are ’drawn’ with buildings from the neighborhoodYYY incorporating such landmarks as the MetropolitanYYY GuggenheimYYY and Whitney museumsYYY as well as Gracie Mansion.  The irises and whites of the eyes serve as a background for figurative elements that capture the diversity and energy of the community.  According to the artistYYY ’The [people of the city] have children and want the best for their childrenYYY so they tell them stories and fairy tales.  The fairy tales are the magic animals which appear to float in throughout the four murals.  In the end they form the carousel with the happy children of all nationalities enjoying the ride.  That is the future of the city.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Happy City</a>"
8th St-NYU	40.730328	-73.992629	NYYYRYYYW	Timothy Snell	Broadway Diary	2002	Glass mosaic on platform walls	Commenting on his workYYY artist Timothy Snell saysYYY ’The mosaic is composed of 40 'portholes' that depict scenes and historic sites of the neighborhood (Grace ChurchYYY Washington ArchYYY Cooper UnionYYY Astor PlaceYYY the vista of Broadway). ... The loose gestural rendering and free use of color with simplified imagery injects a light moment in the hectic schedule of the commuter passing through the station. ... Spreading the elements around the station in an architectural format ... integrates the artwork with the space ... This provides moments of diversion at various locations for people waiting and small surprises for repeat travelers in transit through this station. The repeat of elements like the cyclist through a series of panels in a loose use of line and color was a device to add motion and allow more abstract considerations to enter into the work with the hook of recognizable subject matter.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Broadway Diary</a>"
96th St	40.791646	-73.964699	6	Laura Bradley	City Suite	1994	Marble mosaic on platform wallsYYY ceramic signageYYY railingsYYY cut floor tile	Laura Bradley created her mosaic artwork {City Suite}YYY as an encompassing series that spoke to the architecture of the station.  Appearing on the wallsYYY floorsYYY and signageYYY it contains  a terrazzo square that elegantly surrounds a column on the station's mezzanine.  Two large mosaic medallions form the visual centerpiece of the work. Bradley created new name tablets to identify the station that appear to be original and yet they incorporate her medallion design. The {City Suite} mosaics were her inspiration in creating the designs that would be translated into metalwork forms at 96th Street.  Following a project at 23rd Street involving gatesYYY the MTA commissioned new ornamental barriers to be installed system-wide and Bradley's stylized forms  for 96th Street were adopted for use throughout the subway system.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">City Suite</a>"
Alabama Av	40.676992	-73.898654	JYYYZ	Scott Redden	Untitled	2007	Faceted glass in platform windscreens	Images of rural America evoke a nostalgia past in Scott Redden's tranquil counterpoint to the bustle of a city at the Alabama Avenue platform.  The colorful glass windows take the commuter on a visual journey through idealized landscapes with blue treesYYY red barnsYYY and roostersYYY and even an archetypal yellow truck traveling a country road.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Untitled</a>"
Allerton Av	40.865462	-73.867352	2YYY5	Michele Brody	Allerton Mandalas	2006	Faceted glass in platform windscreens	The abstract patterns seen in Michele Brody's faceted glass art are based on subway lines that run from the Bronx through Manhattan to BrooklynYYY as represented graphically on the MTA subway map.  In the first stage of the workYYY Brody extracted the red and green lines and transformed them through a process of extrapolatingYYY twistingYYY turningYYY and layering them.  The final productYYY in faceted-glassYYY captivates the viewer's attention with interlocking streams of colors.  Fabricated into 20 panels and placed on the subway platform for viewing from inside as well as outside the stationYYY the work is full of movement that reflects the motion of a subway train.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Allerton Mandalas</a>"
Astor Place	40.730054	-73.99107	6	Milton Glaser	Untitled	1986	Porcelain enamel on platform walls	Milton GlaserYYY widely known as a pioneering graphic designer (including the I :3: New York logo) and print makerYYY created artwork for the Astor Place station that complements the existing historic fabric while making a bold and modern statement.  The station holds excellent examples of terra cotta and mosaicsYYY particularly the Grueby Facience Company's plaques that depict beaversYYY a source of the Astor family wealth from fur trading. *Glaser described his approach asYYY ’basically a variation on the existing forms.  By extracting fragments of the motifs on the tile panelsYYY enlarging their scaleYYY and placing these pieces in a random patternYYY they take on the appearance of a puzzle.’  The result is a series of porcelain enamel panels in geometric patterns and color that echo the historic elements but present them in an entirely new way.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Untitled</a>"
Atlantic Av-Pacific St	40.683666	-73.97881	BYYYDYYYMYYYNYYYQYYYRYYY2YYY3YYY4YYY5	George Trakas	Hook (Archean Reach)YYY Line (Sea House)YYY and Sinker (Mined Swell)	2004	Polished graniteYYY brushed steelYYY limestoneYYY and Rockville granite throughout station	The array of subway and rail lines at the Atlantic Avenue-Pacific Street and LIRR's Terminal presented a perfect opportunity for an ’architect/artist’ collaboration to unify passages and stairwaysYYY creating a coherent and efficient space.  George Trakas  uses forms and materials that underscore the structure and beauty of the cavernous space. *Trakas selected the stone pavers and bollards for the plaza area.  The architects designed a skylight for the historic station kiosk and Trakas added a small peephole equipped with a lens that provides a view from the street to the light-filled space below.  The viewer spies a boat-shaped gantry of stainless steel and mesh beneath the skylight.  A granite ’wave’ runs along the walls and crests at the point where the two stationsYYY Atlantic Avenue and Pacific StreetYYY meet - linking the passageways.  Referencing the names {Atlantic} and {Pacific}YYY the overarching concept is a place of landing and departure - functions shared by train stations and seaports.	in collaboration with di Domenico + Partners	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Hook (Archean Reach)YYY Line (Sea House)YYY and Sinker (Mined Swell)</a>"
Atlantic Terminal	#N/A	#N/A	Babylon Branch	Allan and Ellen Wexler	Overlook	2009	Granite	The new MTA Long Island Rail Road (LIRR) Atlantic Terminal in Brooklyn features an artist/architect collaboration in a soaringYYY light-filled atrium. The project architectsYYY di Domenico + Partners collaborated with the artistsYYY Allan Wexler and Ellen WexlerYYY to create a special place of arrival in the entry pavilion which reaches from the street level down to the ticket officeYYY waiting room and LIRR and NYC Transit subways. *The Wexlers created a two-story sculptural balcony and wall that visually evokes the adventure of travel. Titled {Overlook}YYY its rocky granite form cantilevers above the main concourse at the TerminalYYY referencing scenic overlooks often found in national parksYYY where travelers are encouraged to pause and take in the larger scene. The bands of granite also refer to nature found underground in layers of rock. Allan Wexler commentedYYY ’We sought to create the experience of viewing an urban public space as if it were a nature settingYYY using granite tiles mathematically pixilated to create nooks and crannies found in rock walls.’ Ellen Wexler saidYYY ’We wanted to create a space where one can stop and take in the dynamic energyYYY which is as exciting as stopping to take in the Grand Canyon or other major vista’. *{Overlook} is framed by a pair of sweeping staircases and a glass and stainless steel balcony/railing that flows with the architecture of the spaceYYY which promises to be a Brooklyn landmarkYYY akin to Grand Central Terminal's famous clock. *Allan Wexler and Ellen Wexler have created public art works nationwideYYY often using familiar forms imbued with new meanings and functionsYYY fostering a new way of looking at or using the specific site. The materials used often are construction materialsYYY as in the case of {Overlook}.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=babylonbranch"">Overlook</a>"
Bay Shore	#N/A	#N/A	Montauk Branch	Brit Bunkley	Bay Shore Icons	1992	Cast cement relief medallions and frieze on exterior of station	Brit Bunkley created a suite of modern architectural elements that overlay the station's columns.  The cast stone elements include round medallionsYYY symbolic of clocksYYY at each end of the station that are set above framed icons representing local history and transportation.  To highlight the advantages of public transportationYYY the artist created a frieze portraying cars in a traffic jam.  ’Since I thought the architecture of the waiting areas looked like a 'Prairie Style Doric TempleYYY' I designed the extended lintel as a Prairie Style window-like structure (which also mimics the LIRR train windows)YYY’ says the artist.  ’The images within... include pleasure boatsYYY a beach umbrella/arrow with egg (a reference to the egg and dart molding)YYY and a Fire Island lighthouse as a chess piece.’  Taken togetherYYY the work adds visual interest and a holiday spirit to both a commuter station and a major launching point for visits to the seashore.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=montaukbranch"">Bay Shore Icons</a>"
Bayside Station	#N/A	#N/A	Port Washington Branch	Ed McGowin	Bayside Story	1999	Bronze relief columns and frieze on overpass	{Bayside Story} features spiral friezes that wrap around the support columnsYYY bearing animal and floral motifs as well as bronze reliefs that celebrate local history and culture.   Indians paddling a canoe have a central position in the work.  Around them are a settler's homesteadYYY a Revolutionary war soldierYYY a farmYYY and Fort Totten.  Boxer ’Gentleman Jim’ Corbett represents local heroes; a yacht and checkered flag portray local amusements.  Once home to the Native American MatinecocksYYY in the late 1800sYYY the wealthy built estates in Bayside.  In the early 1900'sYYY the community was the home to stars of the silver screen. *Commenting on the artworkYYY Ed McGowinYYY statedYYY ’Community history can so easily be lost or forgotten...I consulted with the Bayside Historical Society and the community to choose significant local events and people....’  The compelling result proudly tells the story of Bayside.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portwashingtonbranch"">Bayside Story</a>"
Bedford Park Boulevard-Lehman College	40.873412	-73.890064	4	Andrea Dezsö	Community Garden	2006	Glass Mosaic in mezzanine	{Community Garden} is a glass mosaic mural that fills the entire mezzanine wall at the Bedford Park Boulevard subway station. The imagery depicts a lush fantasy garden of colorfulYYY oversized fruitYYY vinesYYY insectsYYY and animals.  In Dezsö's gardenYYY the community can experience the artist's lush imagination through her colors and animal forms that have an enchanting quality.  Her garden is intended to delight commutersYYY inspiring them with the playful images and intense colors.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Community Garden</a>"
Bellmore	#N/A	#N/A	Babylon Branch	Alan Sonfist	The Narrative History of Bellmore	1993	Hand-painted porcelain tile on platform columns	Created in tandem with his work at nearby Merrick stationYYY the series consists of eight panels of hand-painted tile that depict the community's past and its links to the nearby sea.  The tile is mounted on the elevated train platform's concrete pillars.  As artist Alan Sonfist described the conceptYYY   ’I will create a series of tiles tracing the history of Long IslandYYY beginning in the Ice AgeYYY through paintings of rocks and plant life. The next stage would show how the Native Americans interacted with plants and sea lifeYYY followed by the first EuropeansYYY who settled in Long Island and established farms and a seafaring industry...LaterYYY a tourist industry developedYYY as well as several advanced industries....  At the same timeYYY Bellmore was developing a fishing industry....  The railroad eventually became a bridging device to bring together the surrounding communities and contributed greatly to the development of contemporary Long Island.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=babylonbranch"">The Narrative History of Bellmore</a>"
Beverley Road and Cortelyou Road	40.644031	-73.964492	Q	Patsy Norvell	Garden Stops	1994-1996	Sandblasted glass windows in mezzanine; stair railing and exterior fence	{Garden Stops} brings neighborhood gardens and their creeping vines into the historic station architecture.  Patsy Norvell's steel railings enclose the station entrances and stairwells leading down to the tracksYYY and each has a floral motif.  Curving steel bars give way to columns topped by abstract flower designs.  The railings' vertical bars are punctuated by decorative squaresYYY reproduced from the stations' original fencing.  In the waiting rooms large tri-panel bay windows that are etched with floral imagery overlook the tracksYYY mediating between the indoor and outdoor space.  The artist describes the work as ’an environment that surrounds you rather than something you stop to look at.  As viewers pass throughYYY the work's elements evoke the history of the stationsYYY trigger people's own memoriesYYY and spark a kind of inner dialogue about spaceYYY natureYYY and change.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=Q&station=1"">Garden Stops</a>"
Botantic Garden /Franklin Av	40.670343	-73.959245	SYYY2YYY3YYY4YYY5	Millie Burns	IL7/Square	1999	Wrought iron railings at station exterior	At the Botanic Garden stationYYY community representativesYYY the station architectural teamYYY and artist Millie Burns created a sensitive visual transition from street to mini-park surrounding the entrance and finally into the transit facility itself.  This is achieved by fences and railing designs.  The tall and wavy metal constructions echo both the trees and stately apartment buildings lining Eastern Parkway and harmonize with the modern lines of the station house.  Most importantlyYYY they lead the way into the station and provide aesthetic uplift for transit users.  ’The communities that border Eastern Parkway and the Botanic Garden are blessed with a rich natural bountyYYY’ Burns says.  ’We are surrounded by treesYYY shrubsYYY plantsYYY and vines.  The fences and railing designs are drawn from what I see in this neighborhood.  {IL7/Square} is about growthYYY a reaching toward the sun.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">IL7/Square</a>"
Brighton Beach	40.577621	-73.961376	BYYYQ	Dan George	Mermade/Dionysus and the Pirates	1999	Aluminum sculptures on elevated platform	Brighton BeachYYY near Coney IslandYYY was once one of New York City's prime seaside entertainment and recreation areas.  ’The sea is ancientYYY richYYY and mysteriousYYY’ says Dan George.  ’I wanted {Dionysus} to intrigue people and to remind them of the sea's mythic history and thereby spark the creation of their own dreams and fantasies.’  Dolphins - six pairs and a singleton - are used by the artist to depict the metamorphosis from human to animal.  These have a light and supple appearanceYYY belying the materials from which they are made - sturdyYYY solid and durable aluminum plate and the way that natural light reflects off the water plays on the satiny polished finish and planes of the sculptures giving it buoyancy.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Mermade/Dionysus and the Pirates</a>"
Broadway Junction	40.678334	-73.905316	AYYYCYYYJYYYLYYYZ	Al Loving	BrooklynYYY New Morning	2001	Faceted glass throughout complex; glass mosaic on upper mezzanine wall	{BrooklynYYY New Morning} is an expansive work that consists of 75 unique glass panels arranged into a series  throughout the complex and a seven-by-ten-foot glass mosaic mural wall. *Al Loving said the work has a ’spirit of interdependence and interconnection as an important aspect of the American experienceYYY’ reflecting that this large station serves as a crossroads.  Working with natural lightYYY he achieves a lively and engaging atmosphereYYY and the colored light and flowing forms create a sense of optimism and well-being.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">BrooklynYYY New Morning</a>"
Broadway Station	#N/A	#N/A	Port Washington Branch	Jean Shin	Celadon Remnants	2008	Ceramic and glass mosaic on south stair walls and station building	MotoristsYYY pedestriansYYY and commuters are the beneficiaries of the eloquent beauty of {Celadon Remnants} at the LIRR's Broadway Station in FlushingYYY Queens. *Using celadon fragmentsYYY artist Jean Shin created large-scale mosaic murals that feature the shapes and silhouettes of pottery.  The mosaics are installed on the south stair walls (facing Northern Boulevard) and in architectural niches in the station building.  The vessel or teapot forms were created from thousands of celadon fragmentsYYY hand-selected and donated by the city of IcheonYYY South Korea. The grayish-green forms against a white tile background create an abstract interplay between the positive and negative colored shapes. The aesthetic appeal of celadon lies in its eloquent beauty and simplicity.  Derived from ancient China and perfected in KoreaYYY celadon wares are among the most widely admired of Korean ceramics. *If a vessel is imperfectYYY it becomes scrap and there are mountains of fragments in the Icheon region of Korean.  Shin was determined to use these cast-off fragmentsYYY and the artwork serves as a metaphor for the historyYYY cultureYYY and identity of the Asian population in Queens. For ShinYYY the thriving Asian-American communities neighboring the Broadway Station bear resemblance to the {Celadon Remnants} - as each are transformed in a new location in a distinctively new form while preserving their cultural heritage.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portwashingtonbranch"">Celadon Remnants</a>"
Broadway-Lafayette St/Bleecker St (South only)	40.76182	-73.925508	BYYYDYYYFYYY VYYY6	Mel Chin	Signal	1997	Stainless steel and glass sculpture with lights on mezzanine column bases; ceramic tile on station walls	In {Signal}YYY artist Mel ChinYYY collaborating with Seneca tribe member Peter JemisonYYY draws upon the rich history of the Broadway and Lafayette crossroadsYYY once a trading route for the tribes of the Six Nations.  The mezzanine wall tiles depict figures from the nations with arms out-stretched to one another.  The main concourse has conical forms at the base of support pillars shaped like campfiresYYY used to send signals.  Lights within these ’campfires’ brighten as trains approach and dim as they leave.  Patterns within the steel forms derive from tribal badge patternsYYY that were based on a fusion of cultures.  Another historical overlay is in the tile patterns around the concourseYYY they evoke rising smoke while the pattern is inspired by an Iroquois message of peace.  In the artist's wordsYYY art should ’provoke greater social awareness and responsibilityYYY’ and this work demonstrates how this can be accomplished.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Signal</a>"
Broadway-Lafayette St/Bleecker St (South only)	40.76182	-73.925508	BYYYDYYYFYYYVYYY6	Mel Chin	Signal	1997	Stainless steel and glass sculpture with lights on mezzanine column bases; ceramic tile on station walls	In {Signal}YYY artist Mel ChinYYY collaborating with Seneca tribe member Peter JemisonYYY draws upon the rich history of the Broadway and Lafayette crossroadsYYY once a trading route for the tribes of the Six Nations.  The mezzanine wall tiles depict figures from the nations with arms out-stretched to one another.  The main concourse has conical forms at the base of support pillars shaped like campfiresYYY used to send signals.  Lights within these ’campfires’ brighten as trains approach and dim as they leave.  Patterns within the steel forms derive from tribal badge patternsYYY that were based on a fusion of cultures.  Another historical overlay is in the tile patterns around the concourseYYY they evoke rising smoke while the pattern is inspired by an Iroquois message of peace.  In the artist's wordsYYY art should ’provoke greater social awareness and responsibilityYYY’ and this work demonstrates how this can be accomplished.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Signal</a>"
