Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
23rd St-Ely Avenue/Long Island City	40.741303	-73.989344	"E,V,G"	Elizabeth Murray	Stream	2001	"Glass mosaic on walls in passageway connecting the E, V to the G"	"Elizabeth Murray titled this work {Stream}, to evoke the feet of travelers as they stream out along the passageway.  Murray has shifted from abstraction to recognizable imagery throughout her career and in this work, she created magical forms that reveal her artistic spirit in the vibrant colored mosaics that fill the passageway.   Murray also used imagery with her earlier project, {Blooming}, in the Lexington Avenue and 59th  Street station.  Here the radiant colors evoke the new day with rising suns and the giant steps being taken, as the organic and joyous shapes provide an uplifting jolt of energy to the commuters streaming past."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Stream</a>"
23rd St-Ely Avenue/Long Island City	40.741303	-73.989344	"E,V,G"	Frank Olt	Temple Quad Reliefs	1992	Glass mosaic and ceramic reliefs on station platforms and mezzanine	"The artwork consists of four large-scale ceramic murals that contain sculpted forms that depict architectural formations set into a mosaic background.  Frank Olt feels that the Archways represent a symbol of welcome, strength and beauty. Their form and rich color derive from Romanesque architecture, and provide a welcoming point of entry.  The {Gothic Circle} symbolizes endurance, renewal and perpetuit,Y and is designed to inspire commuters traveling to and from work.  The {Greek Temple Quad}, as Olt describes it, ?consists of four house-shaped pieces, and reinforces the theme of welcome and comfort, but itself resembles a cityscape or place of commerce with all the societal vitality that it implies.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Temple Quad Reliefs</a>"
23rd St-Ely Avenue/Long Island City 	40.741303	-73.989344	"E,V,G"	Frank Olt	Temple Quad Reliefs	1992	Glass mosaic and ceramic reliefs on station platforms and mezzanine	"The artwork consists of four large-scale ceramic murals that contain sculpted forms that depict architectural formations set into a mosaic background.  Frank Olt feels that the Archways represent a symbol of welcome, strength and beauty. Their form and rich color derive from Romanesque architecture, and provide a welcoming point of entry.  The {Gothic Circle} symbolizes endurance, renewal and perpetuit,Y and is designed to inspire commuters traveling to and from work.  The {Greek Temple Quad}, as Olt describes it, ?consists of four house-shaped pieces, and reinforces the theme of welcome and comfort, but itself resembles a cityscape or place of commerce with all the societal vitality that it implies.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Temple Quad Reliefs</a>"
23rd St-Ely Avenue/Long Island City 	40.741303	-73.989344	"E,V,G"	Elizabeth Murray	Stream	2001	"Glass mosaic on walls in passageway connecting the E, V to the G"	"Elizabeth Murray titled this work {Stream}, to evoke the feet of travelers as they stream out along the passageway.  Murray has shifted from abstraction to recognizable imagery throughout her career and in this work, she created magical forms that reveal her artistic spirit in the vibrant colored mosaics that fill the passageway.   Murray also used imagery with her earlier project, {Blooming}, in the Lexington Avenue and 59th  Street station.  Here the radiant colors evoke the new day with rising suns and the giant steps being taken, as the organic and joyous shapes provide an uplifting jolt of energy to the commuters streaming past."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Stream</a>"
46 St-Bliss St	40.743132	-73.918435	7	Yumi Heo	Q is for Queens	1999	Faceted glass on mezzanines and platforms	"When the 7 train emerges from the underground to become elevated as its travels through Queens, it passes through a succession of stations in one of the most ethnically diverse areas of the city.  The renovation of this line included a major work of art that pays homage to the borough of Queens and its diversity.  Artist Yumi Heo designed 30 faceted-glass panels for the stations' mezzanines and platforms.  Collectively titled {Q is for Queens}, the panels use each letter of the alphabet (e.g. A is for Aqueduct racetrack ... Z is for Zoo) to highlight neighborhood places and events, in a narrative that brings the richness of Queens to life, filtered through the artist's sensibility. 46th Street-Bliss Street includes the letters 0 through Z and two Queens murals. {(See 40thStreet-Lowery Street and 33rd Street-Rawson Street.)}"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Q is for Queens</a>"
40 St-Lowery St	40.743781	-73.924016	7	Yumi Heo	Q is for Queens	1999	Faceted glass on mezzanines and platforms	"When the 7 train emerges from the underground to become elevated as its travels through Queens, it passes through a succession of stations in one of the most ethnically diverse areas of the city.  The renovation of this line included a major work of art that pays homage to the borough of Queens and its diversity.   Artist Yumi Heo designed 30 faceted-glass panels for the stations' mezzanines and platforms.  Collectively titled {Q is for Queens}, the panels use each letter of the alphabet (e.g. A is for Aqueduct racetrack ... Z is for Zoo) to highlight neighborhood places and events, in a narrative that brings the richness of Queens to life, filtered through the artist's sensibility. 40th Street-Lowery Street includes the letters I through N. {(See 46th Street-Bliss Street and 33rd Street-Rawson Street.)}"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Q is for Queens</a>"
33 St-Rawson St	40.744587	-73.930997	7	Yumi Heo	Q is for Queens	1999	Faceted glass on mezzanines and platforms	"When the 7 train emerges from the underground to become elevated as its travels through Queens, it passes through a succession of stations in one of the most ethnically diverse areas of the city.  The renovation of this line included a major work of art that pays homage to the borough of Queens and its diversity.   Artist Yumi Heo designed 30 faceted-glass panels for the stations' mezzanines and platforms.  Collectively titled {Q is for Queens}, the panels use each letter of the alphabet (e.g. A is for Aqueduct racetrack ... Z is for Zoo) to highlight neighborhood places and events, in a narrative that brings the richness of Queens to life, filtered through the artist's sensibility. 33rd Street-Rawson Street includes the letters A through H and two other murals, including one of a ?Redbird? subway car.  {(See 46th Street-Bliss Street and 40th Street-Lowery Street.)}"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Q is for Queens</a>"
28th St	40.745494	-73.988691	"N,R,W"	Mark Hadjipateras	City Dwellers (for Costas and Maro)	2002	Glass mosaic on platform walls	"The Toy Center and the Flatiron Building are located near the subway station at 28th Street and Broadwa,Y as are the flower, fur, and garment districts. Each of these areas inspired artist Mark Hadjipateras, whose glass mosaics are rendered in a playful cartoon-like style. {City Dwellers} animates the walls of the station with a series of robot-like creatures. The figures are joyous and fanciful, but closer examination reveals universal symbols and forms that reflect  the neighborhood and its history - technolog,Y toys, and commerce.  These inventions invite riders to guess at their meanings; while they may seem familiar, the artist holds the key. In his proposal, Hadjipateras cited some of his plentiful sources: plants and flowers, patterns based on national flags, Greek ethnic garb, a famil,Y New York taxis, radio broadcast waves, etc.   Filtered through the artist's sensibilit,Y the result is a unique and compelling station environment."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">City Dwellers (for Costas and Maro)</a>"
Woodside-61st St	40.74563	-73.902984	7	Dimitri Gerakaris	Woodside Continuum	1999	Hand-forged steel and stainless steel railings in control area	"{Woodside Continuum} deals with the history of Woodside as a neighborhood, and its relationship to the railroad in particular.  ?The challenge and opportunity of the Woodside station is in its relationship to the past and to the future,? Gerakaris explains.  ?In designing art for it, I wanted to create a continuum to link generations  - starting centuries ago with wilderness, farms, country lanes, and abundant woods, to today.  People rushing by may become aware of this now vanished town and, upon reflection, realize that they are the link to the future ... I wanted {Woodside Continuum} to present history accurately but in an engaging way.  My aim was to encourage people to think about the continuity and to see the ways Woodside has changed and is changing - and the powerful role transportation has played in that process.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Woodside Continuum</a>"
Woodside-61st St	40.74563	-73.902984	7	John Cavanagh	Commuting/Community	1986	Porcelain enamel on mezzanine walls	"{Commuting/Community} reflects John Cavanagh's impressions of Woodside, a Queens neighborhood where railroad and subway lines intersect.  The two photo-montage murals are related to one another in revealing the daily life of Woodside's residents.  Both murals spell out ?Woodside? using letters based on neighborhood sites. The murals reflect the contrasts present in this city neighborhood, from the rushing train overhead to the pleasant street life below.  In another scene, the artist juxtaposes children playing in the park with adults commuting into the city.  The portrayal of the community is offered to Woodside, in Cavanagh's words, ?to provoke, stimulate, console, strengthen, and enjoy.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Commuting/Community</a>"
33rd St	40.746081	-73.982076	6	James Garvey	Lariat Seat Loops	1997	Bronze seat rests attached to platform columns	"The 14 sculptural {Lariat Seat Loops} encircle structural columns at the 33rd Street subway station in a variety of shapely configurations.  In each, says artist James Garve,Y ?the thick bronze bar ... resembles the lasso demonstration in a Will Rogers film clip.?  Useful and decorative, some loops serve as handholds and others as seat rests.  Each bar swells where it touches the surface and is attached to the column with custom-forged bolts. *The {Loops} were handmade and individually crafted in Garvey's forge in Harlem.  Describing the work, he said, ?I look at the lariat loops almost as earrings, as ornaments that adorn the architecture and add a little flair to the space.  My aim is to put inspiration into routine treks and refresh people caught up in mundane thoughts.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Lariat Seat Loops</a>"
Queens Plaza	40.748973	-73.937243	"E,G,V,R"	Ellen Harvey	"Look Up, Not Down"	2005	Glass mosaics on mezzanine walls	"In {Look Up, Not Down}, Ellen Harvey asks riders to pretend that they are gazing skyward at the view  that exists above the station.  Her series of mosaic murals depict the sky on a sunny da,Y with the skyline forming a thin frame at the bottom of each mosaic, and represents the actual cityscape at the time it was created.  The work guides travelers to the surrounding streets at this busy transportation hub.  The piece celebrates the romance of the skyline as seen from Queens, imagined as the center of the city.  At a time when the New York City skyline may be associated with loss, {Look Up, Not Down} shows the skyline as an image of hope and beauty.  The sun marks the former location of the World Trade Center.  In years to come, as the city continues to reinvent itself, the mosaics will serve as a view of a past moment in time."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Look Up, Not Down</a>"
34th St-Herald Square	40.749567	-73.98795	"B,D,F,N,Q,R,V,W"	Christopher Janney	"Reach New York, An Urban Musical Instrument"	1996	Handmade bronze-colored tiles at north end of mezzanine	"A green painted rectangular structure is suspended from the subway platform and engages travelers with its ability to produce sounds.  Travelers place their hands in front of the box-like apparatus on the subway platform and a burst of musical notes are released on the opposite side, playing to the person on the other side.  The hand motions elicit an outpouring of sounds that evoke urban life and bring about duets between strangers waiting for their respective trains.  Artist Christopher Janney creates sound sculptures and public art that use sound and motion.  This work brings about interaction and pleased participants, serving in Janney's words, as ?a foil for getting total strangers to interact with each other.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Reach New York, An Urban Musical Instrument</a>"
34th St-Herald Square	40.749567	-73.98795	"B,D,F,N,Q,R,V,W"	Michele Oka Doner	Radiant Site	1991	Handmade bronze-colored tiles at north end of mezzanine	"Michele Oka Doner's {Radiant Site}, at the busy 34th Street-Herald Square subway station, fills a rectilinear floor-to-ceiling passage with golden light.  The midsection of the corridor is the brightest, glazed in copper-toned tiles; the tiles grow darker and reflect less light along the top and bottom of the passageway.  The result is a gently glowing surface.  The artist made the 11,000 tiles one-by-one by hand on a century-old foot-press at the venerable Pewabic Pottery in Detroit.  Their slightly irregular shapes and uneven surfaces were then hand-glazed, varying the recipe in tiny increments so as to achieve the desired luminosity.  Doner says that she considers not only the physical and chemical properties of the materials she will use but also ?their psychic and cosmic qualities.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Radiant Site</a>"
34th St-Herald Square	40.749567	-73.98795	"B,D,F,N,Q,R,V,W"	Nicholas Pearson	Halo	1991	Hand-coiled aluminum spheres in atrium space at south end of station	"In the 34th Street-Herald Square subway station riders are met by large, luminous orbs that seem to hover in space.  Made of coiled aluminum rods - formed in a manner similar to the way in which ceramicists build pots from clay - the spheres are suspended on a framework of small beams from the larger steel structural components of the station.  {Halo} contrasts the aesthetic with the utilitarian and the result is ?an unexpected serenity.?  The artist sa,Y ?It was my aim to create an enigmatic distribution of objects that would stand in sharp contrast to the rectilinear nature of the site, and in doing so, to establish an oasis of visual language amid an otherwise functional environment.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Halo</a>"
34th St-Herald Square	40.749567	-73.98795	"B,D,F,N,Q,R,V,W"	David Provan	Yab-Yum	1992	Kinetic aluminum sculpture at north end of station	"A series of red wind paddles, each 12 long, hangs between the east wall of the station and each of the 14 columns that run the length of the wall.  The artist's concept was for the delicately balanced paddles to spin and flutter in the wind generated by approaching and departing trains.  From the artist's proposal:  ?As every veteran subway rider knows - whether actively or intuitively - the approach of a train is preceded by a gust of wind funneling down the track. It's my interest to build and install a series of subway 'wind paddles' that will utilize and make visible these subterranean breezes.  The varying amounts of wind will set the brightly colored paddles floating, tilting, and spinning in descriptive patterns.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Yab-Yum</a>"
34th St-Penn Station	40.749567	-73.98795	"1,2,3"	Elizabeth Grajales	When the animals speak...	1998	"Ceramic mosaic on 3 platform; handmade ceramic relief tiles on 1, 2 platform walls"	"In her series of mosaics, Grajales shows wild beasts in a pastoral setting, reminiscent of the 19th-century paintings such as the ?Peaceable Kingdom? by Edward Hicks.  One features a pair of lions happily coexisting with birds.  A nearby stream (representing the Hudson River) with cliffs behind (the Palisades in New Jersey) form the backdrop.  In another mosaic, a bear contentedly watches a doe and her young.  Other panels show birds in flight and nesting.  ?As a child on shopping trips,? notes Grajales, ?I found the station dull and colorless.  I wanted to give people something cheerful but also calming - a refuge in the city.  That's why I used gentle colors like golden ochre and pale blues and greens for these idyllic Garden of Eden scenes.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">When the animals speak...</a>"
34th St-Penn Station	40.749567	-73.98795	"A,C,E"	Eric Fischl	The Garden of Circus Delights	2001	Glass mosaic throughout station	"{The Garden of Circus Delights} is the artist's homage to the circus, which makes annual visits to Madison Square Garden, located above the station, and also connected to the Long Island Rail Road.  Eric Fischl's work is narrative and this work follows in this tradition.  A series of murals takes commuters from the familiar to the bizarre circus world.  ?I thought it would be amusing,? Fischl says, ?to do a contemporary Dante's Inferno, to turn commuting into a spiritual quest.?  The murals portray fire-breathers, acrobats, and animals; gradually one realizes that a commuter has left home and been pulled into the circus, where he meets incredible circus characters and then, on the other side of the tent, he emerges in the white light and harmon,Y a commuter again, but transported and transformed.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">The Garden of Circus Delights</a>"
Queensboro Plaza	40.750582	-73.940202	"7,N,W"	Sidney Cash	Columns	2000	Silkscreened glass panels on track wall	"In describing his work and intent in creating the silkscreened glass panels, Sidney Cash says,  ?As  viewers walks along the platform, they are able to watch the panels' imagery transform as patterns appear and disappear in response to their movement ...The patterns on the panels have been designed to relate to the style of embellishment of Arts and Crafts-influenced architecture.  As parts of the building are enhanced by diamond-shaped tiles, so are the patterns on the optical panels based upon the diamond shape. The vibrancy of movement and the patterns in the panels create a visual dialogue between the Arts and Crafts style, the motion of the trains, and the high-tech world of today....  For the people who take the time to look, this installation becomes a moving exhibition.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Columns</a>"
42nd St-Bryant Park/Fifth Avenue	40.754222	-73.984569	"B,D,F,V,7"	Samm Kunce	Under Bryant Park	2002	"Glass, stone, and marble mosaic walls in passageway between 42nd Street and 5th Avenue stations"	"One of the largest artworks in the MTA system runs under 42nd Street along the corridor connecting the B, D, F, V lines with the 7 train.  Above the site is the Main Library and Bryant Park, which are reflected in the artwork below.  On the walls of the tunnel we see rock outcroppings, tree roots, pipes, animal burrows, and literary quotations.  The artist based the project on the idea of systems.  In her words, ?People travel the subway system, water and other utility services are delivered by pipes, and plants and trees that provide grace and softness against the city's sharper edges find their way to water and nutrients underground through a system of roots.  In a similar wa,Y literature is shared by systems of learning and lending, and many animals inhabit systems of burrows just as humans systematically divide portions of larger habitats aboveground.?  At the west end of the tunnel, color asserts itself in a frieze of rock and plant forms with a quote from psychologist Carl Jung:  ?Nature must not win the game, but she cannot lose.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Under Bryant Park</a>"
42nd St-Byrant Park/Fifth Avenue	40.754222	-73.984569	"B,D,F,V,7"	Samm Kunce	Under Bryant Park	2002	"Glass, stone, and marble mosaic walls in passageway between 42nd Street and 5th Avenue stations"	"One of the largest artworks in the MTA system runs under 42nd Street along the corridor connecting the B, D, F, V lines with the 7 train.  Above the site is the Main Library and Bryant Park, which are reflected in the artwork below.  On the walls of the tunnel we see rock outcroppings, tree roots, pipes, animal burrows, and literary quotations.  The artist based the project on the idea of systems.  In her words, ?People travel the subway system, water and other utility services are delivered by pipes, and plants and trees that provide grace and softness against the city's sharper edges find their way to water and nutrients underground through a system of roots.  In a similar wa,Y literature is shared by systems of learning and lending, and many animals inhabit systems of burrows just as humans systematically divide portions of larger habitats aboveground.?  At the west end of the tunnel, color asserts itself in a frieze of rock and plant forms with a quote from psychologist Carl Jung:  ?Nature must not win the game, but she cannot lose.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Under Bryant Park</a>"
42nd St-Port Authority Bus Terminal	40.754222	-73.984569	"A,C,E"	Lisa Dinhofer	Losing my Marbles	2003	Glass mosaics on mezzanine walls	"Lisa Dinhofer uses representations of toy marbles to challenge our imaginations by playing with illusions that alter physical perceptions.  Her work spans a 32-foot-long wall and two adjacent side walls.  Created in glass mosaic, the main artwork consists of a gold-colored trompe l'oeil frame surrounding a black and white tiled floor that serves as the backdrop for the marbles, which seem to roll toward the viewer. On the side walls, free-floating marbles seem to breaking free in space.  Dinhofer comments, ?Every object I paint actually exists; I work from life.  The space I create is believable - but not real.  Because I design my own space, I call myself an 'illusionist' painter rather than a 'realist'.  The space in my work is invented.  It's flattened - like the space we see on a television or a computer screen.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Losing my Marbles</a>"
Grand Central-42nd St	40.754222	-73.984569	"S,4,5,6,7"	Christopher Sproat	V-Beam	2000	"Functional stainless steel ceiling sculpture on  7  platform incorporating lighting, signage, LED, and fan system"	"{V-Beam} is a functional structure and an aesthetic statement.  Artist Christopher Sproat has combined standard transportation hardware - signage, air circulation, and safety equipment - with his artistic sensibility to integrate the sculpture into the transit environment.  The artwork takes the form of a large V, which Sproat judged to be the most practical shape in terms of access and stabilit,Y and is equipped with extruded aluminum panels and light-emitting diodes to carry out its functions.  ?Rather than make an artistic or decorative statement and add it to the station so that the viewer knows 'this is art,' I chose to make the entire space exuberant and unique,? the artist says."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">V-Beam</a>"
Grand Central-42nd St	40.754222	-73.984569	"S,4,5,6,7"	Dan Sinclair	Fast Track and Speedwheels	1990	"Two mixed-media sculptures in passageway between the shuttle S and 4, 5, 6 lines"	"Dan Sinclair's {Fast Track and Speedwheels} are assemblages crafted from bright metallic sections that include wavy aluminum sheets, steel wheels, brass disks, copper springs and wires.  Installed within a long passageway between the subway and Grand Central Terminal above, they interpret the speed, energy and train travel imagery into a series of relief sculptures.  The art-deco shapes and various turning wheels, spinning gears and pistons add to the aura of the location, below one of America's premiere rail stations.  ?I want my sculpture to make people think of the power of the engines that drive the trains, the speed and efficiency of them . . . the sculptures also reflect the architectural elements of Times Square and the Art Deco glamour of Radio City Music Hall,? says the artist."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">Fast Track and Speedwheels</a>"
Grand Central-42nd St	40.754222	-73.984569	"S,4,5,6,7"	Jackie Ferrara	"Grand Central: Arches, Towers, Pyramids"	2000	"Ceramic mosaic band on walls of S platform, passageway to 7 platform, and upper passageway to S, 4, 5, 6, 7 and Grand Central Terminal"	"The passageways and waiting areas of Grand Central's subway stations are like a bustling cit,Y an underground community - but without a skyline.  This mosaic artwork brings architectural views down below. *Ferrara has long been interested in the simple and repetitive forms of building, and she uses forms that are simple and schematic, almost primitive-looking structures.  Taken together, they lend a unity and meditative character to the space; as people move through the platforms and passageways, the images seem to shift, and no two vistas are the same.  Ferrara thinks of these as pieces of a mathematical puzzle.  The spare simplicity and economy of design attracts viewers.  Nothing is casual or unintentional in the artist's design, which she describes: ?This sequence of stripe/image is calculated.  It can be seen as images on a strip of film, or a line of faces framed in the windows of a passing train.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">Grand Central: Arches, Towers, Pyramids</a>"
Times Square-42nd St	40.754222	-73.984569	"A,C,E,N,Q,R,S,W,1,2,3,7"	Jacob Lawrence	New York in Transit	2001	"Glass mosaics on stairway wall between N, Q, W, R and S mezzanines"	"The enormous mosaic mural is the focal point of the mezzanine in the Times Square subway complex.  Its shimmering and detailed surface pays tribute to the diversity and strength of New York City - its neighborhoods, cultural life, recreational pleasures, love of sports and, of course, its subway system.  {New York in Transit} was Jacob Lawrence's last public work.  In it he evokes city life seen from an elevated train and the sensitive and loving portrait shows a slice of city life and is a parting gift to New York Cit,Y seen by millions of people who live and visit here."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">New York in Transit</a>"
Times Square-42nd St	40.754222	-73.984569	"A,C,E,N,Q,R,S,W,1,2,3,7"	Roy Lichtenstein	Times Square Mural	"2002 (Collage 1990, fabricated 1994)"	"Porcelain enamel on wall of N, Q, R, S, W, 1, 2, 3 mezzanine"	"{Times Square Mural} captures the spirit of the subwa,Y its linear movement and dynamic energy.  With a nod to both the past and the future- its central image is a futuristic bullet shaped car zipping through an underground station.  And not just any station, this is Times Square, in the heart of New York City. *Lichtenstein was born in New York in 1923 and spent his last years here.  {Times Square Mural} reflects his career, with references to, and variations on, his earlier works.  Lichtenstein also freely appropriated and incorporated images from the works of other artists and designers in his work.  For instance, the hooded figure at the right of the mural is from the old Buck Rogers comic strips and the iconic 42 image is from a series of drawings of the architectural detail of the subway.  It is a signature work that honors its creator and the place in which it is located."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Times Square Mural</a>"
Times Square-42nd St	40.754222	-73.984569	"A,C,E,N,Q,R,S,W,1,2,3,7"	Toby Buonagurio	Times Square Times: 35 Times	2005	Ceramic plaques inset in glass block passageway	"Think of Times Square and a variety of images, sights, sounds, and scents come to mind.  Whatever they are, chances are you will find it in {Times Square: 35 Times}, a series of artworks encased within glass blocks and set into the walls of the station.  Toby Buonagurio conceived the work around three themes emblematic of the energetic vibrancy of midtown Manhattan: performing arts, fashion, and street life - all recognizable to the everyday passerby and to the thousands of tourists who visit the city.  The ceramics are installed in illuminated shadowboxes throughout the Times Square subway station complex."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Times Square Times: 35 Times</a>"
Times Square-42nd St	40.754222	-73.984569	"A,C,E,N,Q,R,S,W,1,2,3,7"	Jack Beal	The Return of Spring/The Onset of Winter	2001/2005	Glass mosaic on wall of 41st Street/7th Avenue mezzanine	"Jack Beal uses classical mythology to comment on the relationship between what is above and below the surface - an apt metaphor for the subway.  The work consists of two large mosaic panels that illustrate the mythological character Persephone.  Instead of fasting, she ate a pomegranate and as punishment, is banished underground for six months of the year.  However, she is permitted to spend six months above ground on earth with her mother.  In mytholog,Y the periods above and below ground were the beginning of seasons, which Beal uses in his titles.  Beal finds universality in the myth and brings it to life in a place filled with movement and purpose, bringing beauty underground."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">The Return of Spring/The Onset of Winter</a>"
Times Square-42nd St	40.754222	-73.984569	"A,C,E,N,Q,R,S,W,1,2,3,7"	Jane Dickson	The Revelers	2008	Glass mosaic in lower mezzanine and 41st Street passageway between Port Authority and Times Square	"It's been said that if you stand long enough in Times Square, you will meet everyone you've ever known. Long known as the crossroads of the world, Times Square is famous for many things, but mostly for its crowds, particularly the spirited celebration each New Year's Eve when hundreds of thousands of New Yorkers and visitors-joined by television viewers around the world, gather to watch the ball drop to usher in the New Year. Sharing hopes for the future, the huge crowds are televised against a neon background.  *In {The Revelers}, Jane Dickson celebrates this age-old impulse to gather. Her mosaic artwork consists of approximately 70 expressive life-size figures. Each is in motion, walking, gesturing, linking arms, or dancing; all enjoying themselves and each other's company. The central frieze of figures are presaged by a scattering of figures in groups of two or three walking in both directions along the corridors that lead to the central open space of the station complex, near the stairs to the 1, 2, 3 lines. These smaller groups share the space with commuters traveling through the passageways that connect the subway stations at Seventh and Eighth Avenues."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">The Revelers</a>"
Times Square-46th St	40.756312	-73.913333	"A,C,E,N,Q,R,S,W,1,2,3,7"	Max Neuhaus	Times Square	"1977-1992, 2002-present"	Ceramic tiles on north and south mezzanine walls; porcelain enamel on north mezzanine wa	"The work of art, {Times Square} is an invisible, deliberately unmarked area of sound at the north end of the pedestrian island at Broadway between 46th and 45th Streets. Conceived and originally installed by artist Max Neuhaus, it provides a rich harmonic sound texture that emerges from a large underground vault covered by a grating. *Commenting on artwork, Neuhaus has said, ?For those who find and accept the work's anomal,Y the island becomes a different place, separate, but including its surroundings. People, having no way of knowing that it has been deliberately made, usually claim the work as a place of their own discovering.? *Installed by the artist in 1977, the artwork remained active until 1992, when Neuhaus moved abroad. In 2002 it was reinstated with the help of the Times Square Business Improvement District, MTA Arts for Transit, and the Dia Art Foundation, which will assume responsibility for its upkeep."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Times Square</a>"
Flushing-Main St	40.7596	-73.83003	"7,7"	Ik-Joong Kang	Happy World	1999	Ceramic tiles on mezzanine wall	"Ik-Joong Kang's work expresses and celebrates Flushing, Queens, which is among the city's most ethnically diverse communities and home to a burgeoning Chinatown.  Composed of over 2,000 unique ceramic tiles, the mural shows community events, city views, family gatherings, people at work, and children at play.  ?{Happy World} began when I was riding the subway every day.  I was fascinated by the different people and things I saw, so I took small canvases with me and began to create the images that became the work.  I hope these symbols... will make the tens of thousands of people who ride the 7 train every day talk about what they see and share their impressions.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Happy World</a>"
Broadway-Lafayette St/Bleecker St (South only)	40.76182	-73.925508	"B,D,F, V,6"	Mel Chin	Signal	1997	Stainless steel and glass sculpture with lights on mezzanine column bases; ceramic tile on station walls	"In {Signal}, artist Mel Chin, collaborating with Seneca tribe member Peter Jemison, draws upon the rich history of the Broadway and Lafayette crossroads, once a trading route for the tribes of the Six Nations.  The mezzanine wall tiles depict figures from the nations with arms out-stretched to one another.  The main concourse has conical forms at the base of support pillars shaped like campfires, used to send signals.  Lights within these ?campfires? brighten as trains approach and dim as they leave.  Patterns within the steel forms derive from tribal badge patterns, that were based on a fusion of cultures.  Another historical overlay is in the tile patterns around the concourse, they evoke rising smoke while the pattern is inspired by an Iroquois message of peace.  In the artist's words, art should ?provoke greater social awareness and responsibilit,Y? and this work demonstrates how this can be accomplished."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Signal</a>"
